Category,Question,Answer,Options
sports,In which year did the FIFA World Cup make its debut?,1,"1930,1934,1938,1950"
sports,Who holds the record for the most Grand Slam singles titles in tennis (male)?,3,"Roger Federer,Rafael Nadal,Novak Djokovic,Pete Sampras"
sports,Which country has won the most Olympic gold medals in the history of the Summer Games?,2,"United States,Soviet Union/Russia,China,Germany"
sports,What is the official ball used in a game of basketball?,4,"Spalding,Wilson,Molten,Nike"
sports,Who won the Formula 1 World Championship in the 2022 season?,1,"Lewis Hamilton,Max Verstappen,Valtteri Bottas,Sebastian Vettel"
sports,In which city did the 2016 Summer Olympics take place?,3,"Rio de Janeiro,London,Tokyo,Beijing"
sports,Which player holds the record for the most home runs in Major League Baseball (MLB) history?,1,"Barry Bonds,Hank Aaron,Babe Ruth,Alex Rodriguez"
sports,Who is often referred to as the "G.O.A.T" in women's tennis?,2,"Serena Williams,Margaret Court,Steffi Graf,Martina Navratilova"
sports,What is the regulation height of a basketball hoop in the NBA?,1,"10 feet,9 feet,11 feet,12 feet"
sports,Which country won the Rugby World Cup in 2019?,3,"New Zealand,Australia,South Africa,England"
sports,Who is the all-time leading scorer in the history of the NBA?,1,"Kareem Abdul-Jabbar,LeBron James,Kobe Bryant,Michael Jordan"
sports,Which country won the FIFA Women's World Cup in 2019?,4,"United States,Germany,Sweden,Netherlands"
sports,In golf, what is the term for completing a hole in one stroke under par?,2,"Eagle,Birdie,Par,Bogey"
sports,Which boxer is known as "The Greatest" and "The Champ"?,1,"Muhammad Ali,Mike Tyson,Joe Frazier,Sugar Ray Robinson"
sports,What is the distance of a marathon in kilometers?,3,"21.1 km,26.2 km,42.195 km,50 km"
sports,Who holds the record for the most Olympic gold medals in gymnastics?,4,"Nadia ComÄƒneci,Simone Biles,Olga Korbut,Larisa Latynina"
sports,Which country hosted the 2018 FIFA World Cup?,1,"Russia,Brazil,Germany,France"
sports,What is the nickname of the NFL team based in Green Bay?,2,"Steelers,Packers,Patriots,Cowboys"
sports,Who won the 2021 UEFA Champions League?,3,"Real Madrid,Manchester City,Chelsea,Bayern Munich"
sports,Which swimmer holds the record for the most Olympic gold medals in a single Games?,2,"Michael Phelps,Mark Spitz,Ian Thorpe,Ryan Lochte"
sports,What year were the first modern Olympic Games held?,1,"1896,1900,1904,1908"
